; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1538716216,"CurrentTimeLocal","Thu Oct  4 22:10:16 2018","Hostname","nid01031","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 3.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,0,68,"Warmup",0.001427,0.01917,0.003378,0.000102,0.005535,0.001093,4.3e-05,0.001716,0.032717,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,1,68,"Warmup",0.000402,0.003068,0.001583,8.2e-05,0.000296,0.000358,3.8e-05,0.001198,0.007248,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,2,68,"Success",0.000336,0.002912,0.001475,7.6e-05,0.000244,0.000313,3.8e-05,0.001124,0.006725,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,3,68,"Success",0.000244,0.002818,0.001409,5.6e-05,0.000235,0.000355,3.6e-05,0.001124,0.00649,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,4,68,"Success",0.000279,0.002788,0.001428,5.7e-05,0.000246,0.000321,3.8e-05,0.001143,0.006483,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,5,68,"Success",0.000272,0.002805,0.001405,5.5e-05,0.000223,0.000325,4.2e-05,0.001149,0.006477,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,6,68,"Success",0.000265,0.002799,0.001434,6.7e-05,0.000236,0.000373,3.5e-05,0.001129,0.006519,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,7,68,"Success",0.000274,0.002827,0.001403,7.3e-05,0.000235,0.000319,3.7e-05,0.001124,0.006476,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,8,68,"Success",0.000269,0.002863,0.001429,7e-05,0.000232,0.000313,3.9e-05,0.001103,0.006504,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,9,68,"Success",0.000267,0.002792,0.001414,5.5e-05,0.000224,0.000308,3.8e-05,0.00112,0.006416,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,10,68,"Success",0.000272,0.002872,0.001382,5.7e-05,0.000235,0.000315,3.8e-05,0.001111,0.006478,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,11,68,"Success",0.00027,0.00287,0.001369,7.3e-05,0.000225,0.000318,3.7e-05,0.001117,0.006478,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,0,69,"Warmup",0.000364,0.018699,0.012788,0.000262,0.006789,0.008313,0.000105,0.001781,0.049328,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,1,69,"Warmup",0.000312,0.011341,0.008884,0.000202,0.004621,0.004519,9e-05,0.001432,0.031631,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,2,69,"Success",0.000282,0.011003,0.008768,0.000207,0.004434,0.004465,0.000101,0.001354,0.030827,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,3,69,"Success",0.000279,0.010756,0.008676,0.000206,0.004497,0.004444,8.9e-05,0.001327,0.030481,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,4,69,"Success",0.000294,0.010611,0.008554,0.000219,0.004464,0.004393,8.9e-05,0.00134,0.030162,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,5,69,"Success",0.00031,0.010541,0.008524,0.000204,0.004398,0.004357,8.8e-05,0.001306,0.029946,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,6,69,"Success",0.000347,0.010744,0.00854,0.000213,0.004409,0.004352,8.2e-05,0.001298,0.030201,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,7,69,"Success",0.000322,0.011126,0.008559,0.000208,0.004457,0.0044,8.2e-05,0.001367,0.030745,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,8,69,"Success",0.000275,0.010659,0.008442,0.00021,0.004443,0.004357,8.2e-05,0.001317,0.029996,2896,0,2888,3.0568968641e-16,0
