; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540156680,"CurrentTimeLocal","Sun Oct 21 14:18:00 2018","Hostname","nid02171","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.3e-05
; "Time_ContextDestroy [ms]", 6.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,0,68,"Warmup",0.001566,0.019358,0.003622,0.000177,0.005152,0.001111,4e-05,0.001681,0.032964,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,1,68,"Warmup",0.000344,0.003062,0.001469,7.8e-05,0.000298,0.000323,2.2e-05,0.001126,0.006925,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,2,68,"Success",0.000269,0.002633,0.001396,6.7e-05,0.000302,0.000311,3.1e-05,0.001117,0.006296,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,3,68,"Success",0.000245,0.002695,0.0014,4.4e-05,0.000249,0.00031,3.4e-05,0.001035,0.006223,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,4,68,"Success",0.000243,0.002536,0.001396,6e-05,0.000246,0.000253,3.4e-05,0.001065,0.006011,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,5,68,"Success",0.000246,0.002685,0.001406,7.2e-05,0.000223,0.00028,3.1e-05,0.001039,0.00617,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,6,68,"Success",0.000252,0.002605,0.001414,4.7e-05,0.000236,0.000255,3.1e-05,0.001044,0.006079,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,7,68,"Success",0.00024,0.002606,0.001399,3.5e-05,0.000236,0.000272,3.3e-05,0.001063,0.006051,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,8,68,"Success",0.000236,0.002557,0.001378,4.9e-05,0.000249,0.000258,2.2e-05,0.001043,0.006003,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,9,68,"Success",0.00024,0.002633,0.001379,3.5e-05,0.00025,0.000249,3.2e-05,0.001049,0.006067,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,10,68,"Success",0.000243,0.002574,0.001337,3.6e-05,0.000245,0.000242,3.2e-05,0.001022,0.00593,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",19,0,0,11,68,"Success",0.00024,0.002619,0.001396,3.6e-05,0.000223,0.00028,3.1e-05,0.00105,0.006072,160,0,152,2.256509006e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,0,69,"Warmup",0.000385,0.019855,0.013171,0.000265,0.006684,0.008819,0.000116,0.001939,0.051489,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,1,69,"Warmup",0.000303,0.011622,0.008925,0.000201,0.004529,0.004447,0.000106,0.001454,0.031787,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,2,69,"Success",0.000238,0.011128,0.00876,0.0002,0.004492,0.004334,9.6e-05,0.001317,0.030767,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,3,69,"Success",0.000241,0.010819,0.008596,0.000235,0.004493,0.004332,9.7e-05,0.001301,0.03033,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,4,69,"Success",0.000253,0.010642,0.0085,0.000196,0.00446,0.00431,9.6e-05,0.001324,0.02997,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,5,69,"Success",0.0003,0.010672,0.008433,0.00022,0.004418,0.004283,8.7e-05,0.001306,0.029914,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,6,69,"Success",0.000241,0.010698,0.008405,0.000199,0.004409,0.004282,8.8e-05,0.001332,0.029847,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,7,69,"Success",0.000256,0.010753,0.008504,0.000195,0.0044,0.004279,8.6e-05,0.001297,0.029951,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,8,69,"Success",0.000248,0.010771,0.008419,0.0002,0.004399,0.004281,8.7e-05,0.001323,0.02993,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,9,69,"Success",0.000244,0.010739,0.008445,0.000185,0.004392,0.004281,8.6e-05,0.001301,0.029891,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,10,69,"Success",0.000257,0.0108,0.008415,0.000201,0.004406,0.004278,8.7e-05,0.001348,0.029973,2896,0,2888,3.0568968641e-16,0
