; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540674234,"CurrentTimeLocal","Sat Oct 27 14:03:54 2018","Hostname","nid01889","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 2.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",19,0,0,0,51,"Warmup",0.00107,0.015347,0.003165,0.000188,0.006067,0.001188,5e-05,0.00146,0.028834,80,0,76,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000334,0.002931,0.001527,7.9e-05,0.000319,0.000372,1.8e-05,0.001046,0.00684,80,0,76,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",19,0,0,2,51,"Success",0.000317,0.00256,0.00156,5.6e-05,0.00031,0.000335,2.7e-05,0.00101,0.006334,80,0,76,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",19,0,0,3,51,"Success",0.000233,0.002597,0.001402,6.9e-05,0.000282,0.000268,2.8e-05,0.001018,0.006051,80,0,76,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",19,0,0,4,51,"Success",0.000215,0.002596,0.001439,4.8e-05,0.000285,0.000244,3e-05,0.001046,0.00609,80,0,76,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",19,0,0,5,51,"Success",0.000243,0.00253,0.00153,4.6e-05,0.000277,0.000247,1.8e-05,0.001013,0.00612,80,0,76,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",19,0,0,6,51,"Success",0.000232,0.002606,0.001393,4.9e-05,0.000278,0.000248,1.9e-05,0.001045,0.006075,80,0,76,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",19,0,0,7,51,"Success",0.00024,0.002581,0.001437,4.6e-05,0.000278,0.000244,1.8e-05,0.00102,0.006066,80,0,76,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",19,0,0,8,51,"Success",0.00022,0.002632,0.001383,4.5e-05,0.00028,0.000266,3.5e-05,0.001034,0.006081,80,0,76,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",19,0,0,9,51,"Success",0.000241,0.002527,0.001443,3.5e-05,0.000282,0.000247,1.9e-05,0.000979,0.005971,80,0,76,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",19,0,0,10,51,"Success",0.000239,0.00245,0.001414,3.6e-05,0.000278,0.000285,1.9e-05,0.001007,0.00594,80,0,76,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",19,0,0,11,51,"Success",0.000247,0.002495,0.001416,2.4e-05,0.000272,0.000273,1.8e-05,0.001013,0.00598,80,0,76,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",361,0,0,0,52,"Warmup",0.000403,0.016481,0.011635,0.000177,0.006413,0.006069,6.7e-05,0.001628,0.043083,1448,0,1444,8.0903496972e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",361,0,0,1,52,"Warmup",0.000286,0.010519,0.009001,0.000119,0.005037,0.004968,4.3e-05,0.001337,0.031493,1448,0,1444,8.0903496972e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",361,0,0,2,52,"Success",0.000284,0.010219,0.008843,0.000106,0.00488,0.004801,4.7e-05,0.001299,0.030672,1448,0,1444,8.0903496972e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",361,0,0,3,52,"Success",0.000225,0.010201,0.008655,0.000101,0.004845,0.004807,5.5e-05,0.001282,0.030388,1448,0,1444,8.0903496972e-08,0
