; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540722755,"CurrentTimeLocal","Sun Oct 28 03:32:35 2018","Hostname","nid00725","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 5.2e-05
; "Time_ContextDestroy [ms]", 7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,68,"Warmup",0.000177,0.362084,0.314783,0.000133,0.000869,0.000345,5.4e-05,0.000636,0.679359,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,68,"Warmup",0.00014,0.319932,0.305412,0.000105,0.000505,0.000344,3.9e-05,0.000559,0.627336,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,68,"Success",0.000134,0.320044,0.305004,8.4e-05,0.00049,0.000323,3.7e-05,0.000567,0.627039,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,68,"Success",0.000135,0.329073,0.306436,0.000101,0.000506,0.000322,3.9e-05,0.00062,0.637519,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,68,"Success",0.000133,0.319168,0.305232,9.7e-05,0.000486,0.000319,3.9e-05,0.000572,0.626387,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,68,"Success",0.000137,0.319174,0.304999,8.9e-05,0.000473,0.000301,3.4e-05,0.000593,0.626147,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,68,"Success",0.000152,0.319024,0.30591,9.3e-05,0.000481,0.000312,2.4e-05,0.000563,0.626869,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,68,"Success",0.000134,0.317779,0.305435,9.1e-05,0.000486,0.00032,3.9e-05,0.000571,0.625156,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,68,"Success",0.000144,0.318242,0.304133,9.2e-05,0.000478,0.000318,1.9e-05,0.00056,0.624263,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,68,"Success",0.000148,0.318787,0.314077,9.8e-05,0.000934,0.000865,5.2e-05,0.000764,0.636042,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,68,"Success",0.000133,0.328356,0.304101,0.000106,0.000472,0.000319,3.1e-05,0.00052,0.634309,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,68,"Success",0.000135,0.319328,0.30358,8.9e-05,0.000501,0.000322,3.4e-05,0.000528,0.624814,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,69,"Warmup",0.005499,4.72338,4.050122,0.000323,0.257228,0.065012,0.000601,0.067037,9.169817,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,69,"Warmup",0.005545,4.659298,4.03993,0.000293,0.265504,0.068598,0.000548,0.06793,9.108146,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,69,"Success",0.005535,4.670909,4.015235,0.000274,0.197727,0.067844,0.000587,0.067125,9.025747,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,69,"Success",0.005529,4.665472,4.032577,0.000295,0.247915,0.065636,0.000488,0.066252,9.084663,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,69,"Success",0.005518,4.66078,4.021341,0.000291,0.21711,0.070922,0.000545,0.065442,9.042454,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,69,"Success",0.005547,4.619463,4.015331,0.00026,0.233883,0.063619,0.000568,0.064617,9.003822,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,69,"Success",0.0056,4.673352,4.016718,0.000252,0.241759,0.0716,0.000616,0.067407,9.077897,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,7,69,"Success",0.005547,4.582274,4.031175,0.000264,0.214806,0.068554,0.000626,0.067295,8.971018,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,8,69,"Success",0.005499,4.67594,4.074029,0.000254,0.224226,0.07069,0.000647,0.07669,9.128612,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,9,69,"Success",0.005635,4.617262,4.10984,0.000268,0.276123,0.073584,0.000652,0.076816,9.160732,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,10,69,"Success",0.005476,4.674794,4.031244,0.000275,0.311415,0.065643,0.00048,0.066358,9.156155,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,11,69,"Success",0.005473,4.724821,4.026928,0.00027,0.244424,0.066249,0.000566,0.065942,9.135157,2888,0,2888,5.2805092824e-08,0
