; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065374720,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540697996,"CurrentTimeLocal","Sat Oct 27 20:39:56 2018","Hostname","nid01146","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 0.000147
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,0,0,"Warmup",0.003579,62.05308,63.456383,0.024557,2.42556,0.296074,0.033215,1.298753,129.592078,262136,0,262136,8.791741631e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,1,0,"Warmup",0.003839,62.067376,64.06542,0.024344,2.432957,0.331301,0.033883,1.321568,130.281787,262136,0,262136,8.791741631e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,2,0,"Success",0.003929,62.128403,63.173904,0.026812,0.607015,0.278836,0.034109,1.331658,127.585774,262136,0,262136,8.791741631e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,3,0,"Success",0.004927,62.213214,63.367344,0.026652,0.754189,0.283821,0.032772,1.307279,127.990841,262136,0,262136,8.791741631e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,4,0,"Success",0.003905,61.93149,63.929753,0.025001,0.642961,0.305855,0.033941,1.31937,128.19297,262136,0,262136,8.791741631e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,5,0,"Success",0.003939,62.137954,64.030379,0.025285,0.602632,0.296778,0.033388,1.335668,128.466821,262136,0,262136,8.791741631e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,6,0,"Success",0.003947,61.953221,63.333961,0.025167,0.704541,0.3162,0.033242,1.311248,127.68233,262136,0,262136,8.791741631e-08,0
